"lon","lat"
-29.01,38.61
-28.44,38.61
-27.86,38.62
-27.29,38.62
-27.87,39.07
-25.04,36.8
-25.58,37.71
-25.01,37.71
-24.45,64.68
-24.42,65.58
-22.52,63.79
-21.51,63.8
-20.49,63.8
-20.5,63.35
-19.48,63.79
-19.5,63.35
-18.49,63.78
-18.5,63.33
-23.55,64.68
-23.58,65.58
-23.57,65.13
-23.6,66.02
-22.57,64.69
-22.55,64.24
-21.52,64.7
-21.52,64.25
-22.63,65.59
-22.6,65.14
-21.54,65.6
-21.53,65.15
-22.68,66.49
-22.66,66.04
-21.55,66.04
-20.48,64.7
-20.48,64.25
-19.43,64.69
-19.45,64.24
-20.46,65.6
-20.47,65.15
-19.37,65.59
-19.4,65.14
-20.45,66.04
-19.34,66.04
-18.45,64.68
-18.47,64.23
-18.42,65.58
-18.43,65.13
-18.4,66.02
-17.51,63.78
-16.52,63.79
-17.55,64.68
-17.53,64.23
-17.58,65.58
-17.57,65.13
-17.6,66.02
-16.57,64.69
-16.55,64.24
-15.52,64.7
-15.52,64.25
-16.63,65.59
-16.6,65.14
-15.54,65.6
-15.53,65.15
-16.68,66.49
-16.66,66.04
-15.56,66.49
-15.55,66.04
-14.48,64.7
-14.48,64.25
-14.46,65.6
-14.47,65.15
-13.37,65.59
-13.4,65.14
-14.44,66.49
-14.45,66.04
-9.29,38.62
-9.29,39.52
-9.29,39.07
-8.16,36.82
-8.72,37.72
-8.72,37.27
-8.15,37.72
-8.15,37.27
-8.71,38.62
-8.71,38.17
-8.14,38.62
-8.14,38.17
-8.71,39.52
-8.71,39.07
-8.13,39.52
-8.13,39.07
-8.71,39.97
-8.12,39.97
-7.58,37.71
-7.59,37.26
-7.01,37.71
-7.03,37.26
-7.56,38.61
-7.57,38.16
-6.99,38.61
-7,38.16
-7.55,39.52
-7.56,39.07
-6.96,39.51
-6.98,39.06
-7.54,39.97
-6.95,39.96
-6.48,36.79
-6.49,36.34
-6.37,37.69
-6.46,37.24
-6.35,38.59
-6.36,38.14
-6.34,39.49
-6.34,39.04
-6.33,39.94
-9.31,43.13
-9.31,42.68
-8.71,40.43
-8.12,40.42
-8.7,41.33
-8.7,40.88
-8.1,41.32
-8.11,40.87
-8.7,42.23
-8.7,41.78
-8.09,42.22
-8.1,41.77
-8.69,43.13
-8.69,42.68
-8.08,43.12
-8.08,42.67
-8.07,43.57
-7.53,40.42
-6.94,40.41
-7.51,41.32
-7.52,40.87
-6.91,41.31
-6.92,40.86
-7.49,42.22
-7.5,41.77
-6.88,42.21
-6.89,41.76
-7.46,43.12
-7.47,42.67
-6.85,43.11
-6.86,42.66
-7.45,43.57
-6.83,43.56
-6.32,40.39
-6.31,41.29
-6.31,40.84
-6.29,42.2
-6.3,41.74
-6.27,43.1
-6.28,42.65
-6.26,43.55
-10.83,52.11
-10.15,54.37
-9.38,54.37
-10.1,52.12
-10.08,51.67
-9.37,52.13
-9.36,51.68
-10.11,52.57
-9.37,53.02
-9.37,52.57
-10.14,53.92
-10.13,53.47
-9.38,53.92
-9.38,53.47
-8.61,54.82
-8.62,54.37
-7.83,54.82
-7.85,54.37
-8.61,55.27
-7.82,55.27
-8.63,52.13
-8.64,51.68
-7.9,52.12
-7.92,51.67
-8.63,53.02
-8.63,52.57
-7.88,53.02
-7.89,52.57
-8.62,53.92
-8.62,53.47
-7.86,53.92
-7.87,53.47
-7.06,54.81
-7.08,54.36
-6.33,54.79
-6.35,54.34
-7.03,55.26
-6.31,55.69
-6.32,55.24
-6.57,49.85
-7.17,52.11
-6.4,52.1
-7.14,53.01
-7.16,52.56
-6.38,53
-6.39,52.55
-7.1,53.91
-7.12,53.46
-6.36,53.89
-6.37,53.45
-7.78,56.61
-7.75,57.51
-7.76,57.06
-8.58,57.97
-7.57,62
-7.55,62.45
-6.96,56.6
-6.28,56.59
-6.29,56.14
-6.91,57.5
-6.94,57.05
-6,57.48
-6,57.03
-6.86,58.4
-6.89,57.95
-6,58.38
-6,57.93
-6.55,61.99
-6.56,61.54
-6.53,62.43
-9.69,70.98
-8.31,70.98
-5.49,35.89
-5.52,36.79
-5.51,36.34
-5.63,37.69
-5.54,37.24
-5.65,38.59
-5.64,38.14
-5.66,39.49
-5.66,39.04
-5.67,39.94
-4.96,36.8
-4.95,36.35
-4.4,36.81
-4.99,37.71
-4.97,37.26
-4.42,37.71
-4.41,37.26
-5.01,38.61
-5,38.16
-4.44,38.61
-4.43,38.16
-5.04,39.51
-5.02,39.06
-4.45,39.52
-4.44,39.07
-5.05,39.96
-4.46,39.97
-3.84,36.82
-3.28,36.82
-3.85,37.72
-3.85,37.27
-3.28,37.72
-3.28,37.27
-3.86,38.62
-3.86,38.17
-3.29,38.62
-3.29,38.17
-3.87,39.52
-3.87,39.07
-3.29,39.52
-3.29,39.07
-3.88,39.97
-3.29,39.97
-2.72,36.82
-2.16,36.82
-2.72,37.72
-2.72,37.27
-2.15,37.72
-2.15,37.27
-2.71,38.62
-2.71,38.17
-2.14,38.62
-2.14,38.17
-2.71,39.52
-2.71,39.07
-2.13,39.52
-2.13,39.07
-2.71,39.97
-2.12,39.97
-1.58,37.71
-1.59,37.26
-1.01,37.71
-1.56,38.61
-1.57,38.16
-0.99,38.61
-1,38.16
-1.55,39.52
-1.56,39.07
-0.96,39.51
-0.98,39.06
-1.54,39.97
-0.95,39.96
-0.35,38.59
-0.36,38.14
-0.34,39.49
-0.34,39.04
-0.33,39.94
-5.68,40.39
-5.69,41.29
-5.69,40.84
-5.71,42.2
-5.7,41.74
-5.73,43.1
-5.72,42.65
-5.74,43.55
-5.06,40.41
-4.47,40.42
-5.09,41.31
-5.08,40.86
-4.49,41.32
-4.48,40.87
-5.12,42.21
-5.11,41.76
-4.51,42.22
-4.5,41.77
-5.15,43.11
-5.14,42.66
-4.54,43.12
-4.53,42.67
-5.17,43.56
-4.55,43.57
-3.88,40.42
-3.29,40.43
-3.9,41.32
-3.89,40.87
-3.3,41.33
-3.3,40.88
-3.91,42.22
-3.9,41.77
-3.3,42.23
-3.3,41.78
-3.92,43.12
-3.92,42.67
-3.31,43.13
-3.31,42.68
-3.93,43.57
-3.31,43.58
-4,47.62
-3.33,47.63
-3.33,47.18
-2.71,40.43
-2.12,40.42
-2.7,41.33
-2.7,40.88
-2.1,41.32
-2.11,40.87
-2.7,42.23
-2.7,41.78
-2.09,42.22
-2.1,41.77
-2.69,43.13
-2.69,42.68
-2.08,43.12
-2.08,42.67
-2.69,43.58
-2.67,46.73
-2.02,46.72
-2.67,47.63
-2.67,47.18
-2,47.62
-2.01,47.17
-1.53,40.42
-0.94,40.41
-1.51,41.32
-1.52,40.87
-0.91,41.31
-0.92,40.86
-1.49,42.22
-1.5,41.77
-0.88,42.21
-0.89,41.76
-1.46,43.12
-1.47,42.67
-0.85,43.11
-0.86,42.66
-1.44,44.02
-1.45,43.57
-0.82,44.01
-0.83,43.56
-1.42,44.92
-1.43,44.47
-0.78,44.91
-0.8,44.46
-1.39,45.82
-1.4,45.37
-0.75,45.81
-0.77,45.36
-1.36,46.72
-1.38,46.27
-0.71,46.71
-0.73,46.26
-1.34,47.62
-1.35,47.17
-0.67,47.6
-0.69,47.16
-0.32,40.39
-0.31,41.29
-0.31,40.84
-0.29,42.2
-0.3,41.74
-0.27,43.1
-0.28,42.65
-0.25,44
-0.26,43.55
-0.23,44.89
-0.24,44.45
-0.21,45.79
-0.22,45.34
0,46.69
0,46.24
0,47.59
0,47.14
-5.55,50.3
-5.43,49.85
-4.76,50.31
-4.79,51.21
-4.77,50.76
-5.6,52.1
-5.58,51.65
-4.83,52.11
-4.81,51.66
-4.86,53.01
-4.9,53.91
-4.88,53.46
-5.67,54.79
-5.65,54.34
-4.94,54.81
-4.92,54.36
-5.69,55.69
-5.68,55.24
-4.99,55.7
-4.97,55.26
-5.37,48.5
-4.69,48.52
-4.68,48.07
-4.05,50.32
-3.35,50.33
-4.07,51.22
-4.06,50.77
-3.36,51.23
-3.35,50.78
-4.1,52.12
-4.08,51.67
-3.37,52.13
-3.36,51.68
-4.12,53.02
-4.11,52.57
-3.37,53.02
-3.37,52.57
-4.13,53.47
-3.38,53.92
-3.38,53.47
-4.17,54.82
-4.15,54.37
-3.39,54.82
-3.38,54.37
-4.19,55.71
-4.18,55.27
-3.4,55.72
-3.39,55.27
-4.02,48.52
-4.01,48.07
-3.34,48.53
-3.34,48.08
-3.34,48.98
-1.96,49.87
-2.64,51.23
-2.65,50.78
-1.93,51.22
-1.94,50.77
-2.63,52.13
-2.64,51.68
-1.9,52.12
-1.92,51.67
-2.63,53.02
-2.63,52.57
-1.88,53.02
-1.89,52.57
-2.62,53.92
-2.62,53.47
-1.86,53.92
-1.87,53.47
-2.61,54.82
-2.62,54.37
-1.83,54.82
-1.85,54.37
-2.6,55.72
-2.61,55.27
-1.81,55.71
-1.82,55.27
-2.66,48.53
-2.66,48.08
-1.98,48.52
-1.99,48.07
-2.66,49.43
-1.97,49.42
-1.98,48.97
-1.26,49.86
-1.21,51.21
-1.23,50.76
-0.43,51.2
-0.44,50.75
-1.17,52.11
-1.19,51.66
-0.4,52.1
-0.42,51.65
-1.14,53.01
-1.16,52.56
-0.38,53
-0.39,52.55
-1.1,53.91
-1.12,53.46
-0.36,53.89
-0.37,53.45
-1.06,54.81
-1.08,54.36
-0.35,54.34
-1.31,48.52
-1.32,48.07
-0.63,48.5
-0.65,48.05
-1.28,49.41
-1.29,48.97
-0.59,49.4
-0.61,48.95
0,48.49
0,48.04
-5.72,56.59
-5.71,56.14
-5.04,56.6
-5.01,56.15
-5.09,57.5
-5.06,57.05
-5.14,58.4
-5.11,57.95
-4.22,56.61
-4.21,56.16
-3.41,56.62
-3.4,56.17
-4.25,57.51
-4.24,57.06
-3.42,57.52
-3.41,57.07
-4.28,58.41
-4.27,57.96
-3.43,58.42
-3.42,57.97
-3.44,59.31
-3.43,58.86
-2.59,56.62
-2.6,56.17
-2.58,57.52
-2.59,57.07
-1.75,57.51
-1.76,57.06
-2.56,59.31
-2.57,58.86
-1.65,60.2
-1.67,59.76
-1.63,60.65
-0.75,60.19
-0.59,60.64
0.35,38.59
0.34,39.04
0.33,39.94
1.56,38.61
0.98,39.06
1.56,39.07
2.13,39.52
2.71,39.52
2.71,39.07
2.71,39.97
3.29,39.52
3.29,39.07
3.29,39.97
3.88,39.97
4.46,39.97
0.32,40.39
0.31,41.29
0.31,40.84
0.29,42.2
0.3,41.74
0.27,43.1
0.28,42.65
0.25,44
0.26,43.55
0.23,44.89
0.24,44.45
0.21,45.79
0.22,45.34
0.91,41.31
0.92,40.86
1.51,41.32
0.88,42.21
0.89,41.76
1.49,42.22
1.5,41.77
0.85,43.11
0.86,42.66
1.46,43.12
1.47,42.67
0.82,44.01
0.83,43.56
1.44,44.02
1.45,43.57
0.78,44.91
0.8,44.46
1.42,44.92
1.43,44.47
0.75,45.81
0.77,45.36
1.39,45.82
1.4,45.37
0.71,46.71
0.73,46.26
1.36,46.72
1.38,46.27
0.67,47.6
0.69,47.16
1.34,47.62
1.35,47.17
2.1,41.32
2.09,42.22
2.1,41.77
2.7,42.23
2.7,41.78
2.08,43.12
2.08,42.67
2.69,43.13
2.69,42.68
2.06,44.02
2.07,43.57
2.69,44.03
2.69,43.58
2.05,44.92
2.06,44.47
2.68,44.93
2.69,44.48
2.03,45.82
2.04,45.37
2.68,45.83
2.68,45.38
2.02,46.72
2.03,46.27
2.67,46.73
2.68,46.28
2,47.62
2.01,47.17
2.67,47.63
2.67,47.18
3.3,42.23
3.3,41.78
3.31,43.13
3.31,44.03
3.31,43.58
3.94,44.02
3.93,43.57
3.32,44.93
3.31,44.48
3.95,44.92
3.94,44.47
3.32,45.83
3.32,45.38
3.97,45.82
3.96,45.37
3.33,46.73
3.32,46.28
3.98,46.72
3.97,46.27
3.33,47.63
3.33,47.18
4,47.62
3.99,47.17
5.15,43.11
4.56,44.02
4.55,43.57
5.18,44.01
5.17,43.56
4.58,44.92
4.57,44.47
5.22,44.91
5.2,44.46
4.61,45.82
4.6,45.37
5.25,45.81
5.23,45.36
4.64,46.72
4.62,46.27
5.29,46.71
5.27,46.26
4.66,47.62
4.65,47.17
5.33,47.6
5.31,47.16
5.73,43.1
5.75,44
5.74,43.55
5.77,44.89
5.76,44.45
5.79,45.79
5.78,45.34
6,46.69
6,46.24
6,47.59
6,47.14
0.63,48.5
0.65,48.05
1.31,48.52
1.32,48.07
0.59,49.4
0.61,48.95
1.28,49.41
1.29,48.97
0.57,49.85
1.24,50.31
1.26,49.86
0.43,51.2
0.44,50.75
1.21,51.21
1.23,50.76
0.4,52.1
0.42,51.65
1.17,52.11
1.19,51.66
0.38,53
0.39,52.55
1.14,53.01
1.16,52.56
0.37,53.45
1.98,48.52
1.99,48.07
2.66,48.53
2.66,48.08
1.97,49.42
1.98,48.97
2.66,49.43
2.66,48.98
1.95,50.32
1.96,49.87
2.65,50.33
2.65,49.88
1.94,50.77
2.64,51.23
2.65,50.78
1.9,52.12
1.89,52.57
3.34,48.53
3.34,48.08
4.02,48.52
4.01,48.07
3.34,49.43
3.34,48.98
4.03,49.42
4.02,48.97
3.35,50.33
3.35,49.88
4.05,50.32
4.04,49.87
3.36,51.23
3.35,50.78
4.07,51.22
4.06,50.77
3.36,51.68
4.1,52.12
4.08,51.67
4.69,48.52
4.68,48.07
5.37,48.5
5.35,48.05
4.72,49.41
4.71,48.97
5.41,49.4
5.39,48.95
4.76,50.31
4.74,49.86
5.55,50.3
5.43,49.85
4.79,51.21
4.77,50.76
5.57,51.2
5.56,50.75
4.83,52.11
4.81,51.66
5.6,52.1
5.58,51.65
4.86,53.01
4.84,52.56
5.62,53
5.61,52.55
4.88,53.46
5.63,53.45
6,48.49
6,48.04
6,49.39
8.13,39.52
8.13,39.07
8.71,39.52
8.71,39.07
8.71,39.97
9.29,39.52
9.29,39.07
9.29,39.97
9.88,39.97
6.27,43.1
6.25,44
6.26,43.55
6.23,44.89
6.24,44.45
6.21,45.79
6.22,45.34
6.82,44.01
6.83,43.56
7.44,44.02
7.45,43.57
6.78,44.91
6.8,44.46
7.42,44.92
7.43,44.47
6.75,45.81
6.77,45.36
7.39,45.82
7.4,45.37
6.71,46.71
6.73,46.26
7.36,46.72
7.38,46.27
6.67,47.6
6.69,47.16
7.34,47.62
7.35,47.17
8.12,40.42
8.71,40.43
8.11,40.87
8.7,41.33
8.7,40.88
8.7,42.23
8.7,41.78
8.69,42.68
8.06,44.02
8.69,44.03
8.05,44.92
8.06,44.47
8.68,44.93
8.69,44.48
8.03,45.82
8.04,45.37
8.68,45.83
8.68,45.38
8.02,46.72
8.03,46.27
8.67,46.73
8.68,46.28
8,47.62
8.01,47.17
8.67,47.63
8.67,47.18
9.29,40.43
9.88,40.42
9.3,41.33
9.3,40.88
9.89,40.87
9.3,42.23
9.3,41.78
9.31,43.13
9.31,42.68
9.92,43.12
9.92,42.67
9.31,44.03
9.94,44.02
9.32,44.93
9.31,44.48
9.95,44.92
9.94,44.47
9.32,45.83
9.32,45.38
9.97,45.82
9.96,45.37
9.33,46.73
9.32,46.28
9.98,46.72
9.97,46.27
9.33,47.63
9.33,47.18
10,47.62
9.99,47.17
10.51,42.22
11.12,42.21
10.54,43.12
10.53,42.67
11.15,43.11
11.14,42.66
10.56,44.02
10.55,43.57
11.18,44.01
11.17,43.56
10.58,44.92
10.57,44.47
11.22,44.91
11.2,44.46
10.61,45.82
10.6,45.37
11.25,45.81
11.23,45.36
10.64,46.72
10.62,46.27
11.29,46.71
11.27,46.26
10.66,47.62
10.65,47.17
11.33,47.6
11.31,47.16
11.71,42.2
11.73,43.1
11.72,42.65
11.75,44
11.74,43.55
11.77,44.89
11.76,44.45
11.79,45.79
11.78,45.34
12,46.69
12,46.24
12,47.59
12,47.14
6.45,50.3
6.57,49.85
7.24,50.31
7.26,49.86
6.43,51.2
6.44,50.75
7.21,51.21
7.23,50.76
6.4,52.1
6.42,51.65
7.17,52.11
7.19,51.66
6.38,53
6.39,52.55
7.14,53.01
7.16,52.56
6.37,53.45
7.1,53.91
7.12,53.46
6.63,48.5
6.65,48.05
7.31,48.52
7.32,48.07
6.59,49.4
6.61,48.95
7.28,49.41
7.29,48.97
7.95,50.32
7.96,49.87
8.65,50.33
8.65,49.88
7.93,51.22
7.94,50.77
8.64,51.23
8.65,50.78
7.9,52.12
7.92,51.67
8.63,52.13
8.64,51.68
7.88,53.02
7.89,52.57
8.63,53.02
8.63,52.57
7.86,53.92
7.87,53.47
8.62,53.92
8.62,53.47
8.61,54.82
8.62,54.37
7.81,55.71
8.6,55.72
8.61,55.27
7.98,48.52
7.99,48.07
8.66,48.53
8.66,48.08
7.97,49.42
7.98,48.97
8.66,49.43
8.66,48.98
9.35,50.33
9.35,49.88
10.05,50.32
10.04,49.87
9.36,51.23
9.35,50.78
10.07,51.22
10.06,50.77
9.37,52.13
9.36,51.68
10.1,52.12
10.08,51.67
9.37,53.02
9.37,52.57
10.12,53.02
10.11,52.57
9.38,53.92
9.38,53.47
10.14,53.92
10.13,53.47
9.39,54.82
9.38,54.37
10.17,54.82
10.15,54.37
9.4,55.72
9.39,55.27
10.19,55.71
10.18,55.27
9.34,48.53
9.34,48.08
10.02,48.52
10.01,48.07
9.34,49.43
9.34,48.98
10.03,49.42
10.02,48.97
10.76,50.31
10.74,49.86
11.55,50.3
11.43,49.85
10.79,51.21
10.77,50.76
11.57,51.2
11.56,50.75
10.83,52.11
10.81,51.66
11.6,52.1
11.58,51.65
10.86,53.01
10.84,52.56
11.62,53
11.61,52.55
10.9,53.91
10.88,53.46
11.64,53.89
11.63,53.45
10.94,54.81
10.92,54.36
11.67,54.79
11.65,54.34
10.99,55.7
10.97,55.26
11.69,55.69
11.68,55.24
10.69,48.52
10.68,48.07
11.37,48.5
11.35,48.05
10.72,49.41
10.71,48.97
11.41,49.4
11.39,48.95
12,48.49
12,48.04
5.05,59.25
5.1,58.81
4.95,60.15
5,59.7
4.83,61.05
4.89,60.6
4.71,61.94
4.77,61.49
6.01,58.38
6.86,58.4
6.89,57.95
5.93,59.28
5.97,58.83
6.81,59.3
6.83,58.85
6.75,60.19
6.78,59.74
6.68,61.09
6.71,60.64
5.66,61.97
5.71,61.52
6.61,61.99
6.65,61.54
5.61,62.41
6.54,62.88
6.58,62.44
7.78,56.61
7.79,56.16
8.59,56.62
8.6,56.17
8.59,57.07
7.72,58.41
7.73,57.96
8.57,58.42
7.68,59.31
7.7,58.86
8.56,59.31
8.57,58.86
7.65,60.2
7.67,59.76
8.55,60.21
8.55,59.76
7.61,61.1
7.63,60.65
8.54,61.11
8.54,60.66
7.57,62
7.59,61.55
8.52,62.01
8.53,61.56
7.52,62.9
7.55,62.45
8.51,62.9
8.52,62.46
7.5,63.35
8.49,63.8
8.5,63.35
9.41,56.62
9.4,56.17
10.22,56.61
10.21,56.16
9.42,57.52
9.41,57.07
10.25,57.51
10.24,57.06
10.27,57.96
9.44,59.31
9.43,58.86
10.32,59.31
10.3,58.86
9.45,60.21
9.45,59.76
10.35,60.2
10.33,59.76
9.46,61.11
9.46,60.66
10.39,61.1
10.37,60.65
9.48,62.01
9.47,61.56
10.43,62
10.41,61.55
9.49,62.9
9.48,62.46
10.48,62.9
10.45,62.45
9.51,63.8
9.5,63.35
10.52,63.79
10.5,63.35
11.04,56.6
11.01,56.15
11.72,56.59
11.71,56.14
11.06,57.05
12,57.48
12,57.03
11.14,58.4
12,58.38
12,57.93
11.19,59.3
11.17,58.85
12,59.28
12,58.83
11.25,60.19
11.22,59.74
11.43,61.09
11.41,60.64
11.45,61.99
11.44,61.54
11.48,62.88
11.47,62.43
11.51,63.78
11.5,63.33
10.57,64.69
10.55,64.24
11.55,64.68
11.53,64.23
11.58,65.58
11.57,65.13
12.37,37.69
12.36,38.14
12.52,35.44
13.01,37.71
13.03,37.26
13.58,37.71
13.59,37.26
12.99,38.61
13,38.16
13.57,38.16
13.06,35.9
14.16,36.82
14.72,36.82
14.15,37.72
14.15,37.27
14.72,37.72
14.72,37.27
14.14,38.62
14.14,38.17
14.71,38.62
14.71,38.17
14.17,35.92
14.72,35.92
15.28,36.82
15.28,37.72
15.28,37.27
15.29,38.62
15.29,38.17
15.86,38.62
15.86,38.17
15.87,39.52
15.87,39.07
15.29,39.97
15.88,39.97
16.44,38.61
16.43,38.16
16.45,39.52
16.44,39.07
17.04,39.51
17.02,39.06
16.46,39.97
17.67,39.94
12.29,42.2
12.3,41.74
12.27,43.1
12.28,42.65
12.25,44
12.26,43.55
12.23,44.89
12.24,44.45
12.21,45.79
12.22,45.34
12.91,41.31
13.51,41.32
12.88,42.21
12.9,41.76
13.49,42.22
13.5,41.77
12.85,43.11
12.86,42.66
13.46,43.12
13.47,42.67
12.82,44.01
12.83,43.56
13.45,43.57
12.78,44.91
13.42,44.92
12.75,45.81
12.77,45.36
13.39,45.82
13.4,45.37
12.71,46.71
12.73,46.26
13.36,46.72
13.38,46.27
12.67,47.6
12.69,47.16
13.34,47.62
13.35,47.17
14.12,40.42
14.71,40.43
14.1,41.32
14.11,40.87
14.7,41.33
14.7,40.88
14.09,42.22
14.1,41.77
14.7,42.23
14.7,41.78
14.08,43.12
14.08,42.67
14.69,44.03
14.05,44.92
14.06,44.47
14.68,44.93
14.69,44.48
14.03,45.82
14.04,45.37
14.68,45.83
14.68,45.38
14.02,46.72
14.03,46.27
14.67,46.73
14.68,46.28
14,47.62
14.01,47.17
14.67,47.63
14.67,47.18
15.29,40.43
15.88,40.42
15.3,41.33
15.3,40.88
15.9,41.32
15.89,40.87
15.3,41.78
15.9,41.77
